student_id,Credits,courses_can_register,Block_name,block_courses
231001486,23,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'HUMA101', 'MATH112i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000941,27,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL201', 'MATH112i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000470,26,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL202', 'HUMA101', 'MATH112i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000274,16,"['CSCI207/ECEN204', 'ECEN101C', 'HUMA101', 'MATH111i', 'MATH211']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000154,19,"['CSCI207/ECEN204', 'ENGL003', 'HUMA101', 'MATH112i', 'MATH201']",AI-SO-3,"['CSCI207/ECEN204', 'ECEN101C', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH201', 'MATH211']"
231000018,24,"['CSCI207/ECEN204', 'ENGL201', 'HUMA101', 'MATH112i', 'PHYS101C']",AI-SO-4,"['CSCI207/ECEN204', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
231000363,18,"['CSCI207/ECEN204', 'ENGL201', 'HUMA101', 'MATH211', 'PHYS101C']",AI-SO-4,"['CSCI207/ECEN204', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
221000728,46,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI322', 'HUMA101']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
221000348,48,"['CSCI208', 'CSCI212', 'CSCI305', 'CSCI313/ECEN428', 'CSCI322', 'CSCI363', 'MATH203i', 'MATH301i']",AI-SO-7,"['CSCI212', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI322', 'CSCI363', 'ENGL000', 'MATH203i']"
221000143,44,"['CSCI208', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL201', 'MATH203i']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
221002164,40,"['CSCI208', 'CSCI217', 'CSCI311/ECEN432', 'ENGL201', 'MATH203i', 'PHYS101C']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
221000267,45,"['CSCI208', 'CSCI217', 'CSCI322', 'ECEN101C', 'ENGL202', 'MATH203i']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
231000343,33,"['CSCI208', 'CSCI217', 'CSCI410', 'ECEN101C', 'ENGL201', 'HUMA101']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
211000590,39,"['CSCI208', 'CSCI217', 'ECEN101C', 'ENGL003', 'MATH201', 'MATH203i']",AI-SO-5,"['CSCI208', 'CSCI212', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'ENGL000', 'HUMA101', 'MATH203i']"
211000318,17,"['CSCI208', 'CSCI217', 'HUMA101', 'MATH211', 'PHYS101C']",AI-SO-4,"['CSCI207/ECEN204', 'ENGL000', 'HUMA101', 'MATH112i', 'MATH211', 'PHYS101C']"
221000289,54,"['CSCI208', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI322', 'CSCI363', 'MATH301i']",AI-SO-6,"['CSCI208', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'MATH301i', 'PHYS101C']"
211000239,32,"['CSCI208', 'CSCI305', 'CSCI363', 'ENGL202', 'MATH211', 'PHYS101C']",AI-SO-6,"['CSCI208', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'MATH301i', 'PHYS101C']"
211000781,34,"['CSCI212', 'CSCI217', 'ENGL002', 'HUMA101', 'MATH111i']",AI-FR-2,"['CSCI101', 'CSCI102', 'ENGL002', 'HUMA101', 'MATH111i', 'PHYS101C']"
221000019,51,"['CSCI212', 'CSCI217', 'ENGL202', 'MATH201']",AI-SO-1,"['CSCI207/ECEN204', 'CSCI212', 'ENGL000', 'HUMA101', 'MATH201', 'MATH203i']"
